PA,SZ,senior_pop_2025,total_pop_2025,aging_index_2025,senior_pop_2015,senior_pop_2020,senior_growth_rate,infra_count_weighted,infra_density,dist_nearest_hospital_km,dist_nearest_poly_km,demand_supply_ratio,cluster_id,cluster_label,cluster_color
Bukit Merah,Bukit Merah,310,1070,0.2897196261682243,170.0,250,0.06191872105343488,8.0,5.095541401273885,1.723758384572106,0.38127862754444247,0.06676245744648497,0,Well-Served,#1A7A3C
Bukit Merah,Depot Road,1230,6550,0.18778625954198475,770.0,1100,0.04795211530476329,1.0,0.14184397163120568,1.1552854244308701,1.0405383749540245,9.371148502797995,0,Well-Served,#1A7A3C
Bukit Merah,Everton Park,1990,7400,0.2689189189189189,1700.0,1890,0.015875333893980548,1.0,0.12658227848101264,0.5114610321665297,0.39717074307941985,16.177756159397617,0,Well-Served,#1A7A3C
Bukit Merah,Henderson Hill,3550,11650,0.30472103004291845,2730.0,3360,0.026612553634114855,9.0,0.7407407407407407,1.7462754987933686,0.500728903550574,5.27509341779544,0,Well-Served,#1A7A3C
Bukit Merah,Kampong Tiong Bahru,2790,9870,0.2826747720364742,2220.0,2570,0.023116580587233093,4.0,0.3857280617164899,0.9518890736457896,1.2133587135649448,7.818646280288859,0,Well-Served,#1A7A3C
Bukit Merah,Maritime Square,720,5520,0.13043478260869565,170.0,510,0.15528293286662964,4.0,0.6644518272425249,2.6637825837535845,2.1549517472945987,1.2956412001724524,0,Well-Served,#1A7A3C
Bukit Merah,Redhill,1960,11020,0.17785843920145192,1920.0,1730,0.0020640559571163397,10.0,0.8680555555555556,1.8616994553565354,0.3951044368519569,2.491690203714493,0,Well-Served,#1A7A3C
Bukit Merah,Telok Blangah Drive,4350,18850,0.23076923076923078,3100.0,3810,0.03445774687333891,6.0,0.31007751937984496,1.5270329425267692,1.0929559139123508,15.504393460659298,0,Well-Served,#1A7A3C
Bukit Merah,Telok Blangah Rise,3760,11510,0.3266724587315378,2790.0,3340,0.03028734200562,4.0,0.33305578684429643,1.5413189492080672,1.3823306731118372,12.585332195027247,0,Well-Served,#1A7A3C
Bukit Merah,Telok Blangah Way,2540,8340,0.30455635491606714,2110.0,2360,0.018720688723888435,3.0,0.3393665158371041,1.7042309188211642,0.8023968641847149,8.275419203435984,0,Well-Served,#1A7A3C
