name,lat,lon
NTUC Health Day Care for Seniors (Dakota Crescent),1.3076509316480698,103.8890693566755
Stadium MRT Station (CC6),1.302812468836666,103.8753377110429
Mountbatten MRT Station (CC7),1.306172471508542,103.88242992926766
NTUC FairPrice,1.3078079620223604,103.88476762293149
NTUC FairPrice Xtra,1.3030751519521404,103.87314970767503
Dakota MRT Station (CC8),1.3083370386629731,103.88861466811692
Potong Pasir MRT Station (NE10),1.3313794902529275,103.8690556571851
Brahm Centre @ MacPherson,1.3237387562334562,103.88837842179372
Sheng Siong Supermarket,1.329181051016951,103.88824844116711
MacPherson MRT Station (DT26),1.3261502443187043,103.88929860053001
Sheng Siong Supermarket,1.4108192691366366,103.90037167805522
Sheng Siong Supermarket,1.4026219732441352,103.91651959874606
NTUC FairPrice Finest,1.4064846210321438,103.90210568117348
NTUC FairPrice,1.4046100313072614,103.90866559774155
Allkin Singapore - Allkin Active Ageing Centre (AAC) @ Punggol 677B,1.4053646831427562,103.90950898697182
Punggol Bus Interchange (PBI),1.4042775489379387,103.90230376847876
NTUC FairPrice,1.3942371974938277,103.9130473233523
NTUC FairPrice,1.402780157299398,103.91321510095699
Sheng Siong Supermarket,1.4020599826613103,103.89221165870116
Woodlands Zone 3 Residents' Network (RN),1.4447963012874818,103.79060276154782
Sheng Siong Supermarket,1.3701886070756262,103.84341323112928
AWWA Senior Activity Centre (SAC) @ Yio Chu Kang,1.3704811879343324,103.84480580110854
The Lentor Residence Pte Ltd,1.3914920073954915,103.83724172206327
Woodlands South MRT Station (TE3),1.4273960526199168,103.7932643224816
Sheng Siong Supermarket,1.44885564702056,103.83240917198731
TOUCH Active Ageing Centre (AAC) (Wellington),1.4542077663115753,103.82013524464817
Canberra MRT Station (NS12),1.4430766409112126,103.82970259062076
Sembawang Bus Interchange (SBI),1.4473446846495863,103.81984552724441
Sembawang MRT Station (NS11),1.4490093986277701,103.82004063506355
NTUC FairPrice,1.4434954454535152,103.83034536917464
NTUC FairPrice,1.4495448560632775,103.81872759271891
NTUC FairPrice,1.4538106562569555,103.8196197905418
Singapore Pools (Yishun N1),1.430535753885823,103.82766772213326
NTUC FairPrice,1.3862183555943546,103.8929954964878
NTUC FairPrice,1.3818334589698722,103.89390939607694
St Luke's ElderCare (Rivervale Centre),1.389305065862786,103.90759860825078
Allkin Singapore - Allkin Active Ageing Centre (AAC) @ Sengkang 182,1.3904712693582528,103.90921579633759
NTUC FairPrice,1.3853373614101416,103.90184104372165
NTUC FairPrice,1.392217589720124,103.90448204335159
Sengkang MRT Station (NE16),1.391693492035211,103.89548439490443
Sengkang Interchange (SKI),1.391687825274833,103.89612977596362
Sheng Siong Supermarket,1.399227725606959,103.88965593027004
Sheng Siong Supermarket,1.3933278657665644,103.88661762491688
NTUC FairPrice,1.3553645422289713,103.9344778984563
NTUC FairPrice,1.3531335979472119,103.94040813551574
Sheng Siong Supermarket,1.3611364583270458,103.93742559382149
Tampines Care Home,1.3633186322482158,103.93707766998105
St Luke's ElderCare (Changkat Centre),1.3538066190076596,103.96293524719984
New Horizon Centre (Tampines),1.3562512286346764,103.96157664107892
St Luke's ElderCare (Tampines Centre),1.3474003458751347,103.9452949157903
NTUC FairPrice,1.3483642188907468,103.9481587238502
NTUC FairPrice,1.345504505870136,103.94558835548875
St Luke's ElderCare (Sumang Centre),1.401112682142812,103.89426909858761
Sheng Siong Supermarket,1.3559523872767725,103.94593740116872
Tampines Interchange (TMI),1.3543674345882182,103.94367472855782
NTUC FairPrice Finest,1.3019783691142168,103.83975902330988
